iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BA,13,19,23,27,17,21,19,23,31,27,32,37,33,44,62,51,45,45,45,75,59,42,51,80
BW,46,47,49,52,59,56,54,54,58,59,66,196,239,377,508,897,717,84,293,300,297,342,315,358
BV,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR,1338,1355,1242,1277,1286,1293,1262,1214,1307,1600,2091,2830,2671,3493,4755,4551,4446,4087,3999,3371,3197,3436,3830,3004
IO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1
VG,510,447,482,560,593,697,761,901,1279,1393,1689,1668,1216,1760,1549,1162,1153,1048,1287,1259,823,731,756,561
BN,584,256,131,108,74,56,66,71,61,83,98,98,103,186,100,103,233,199,215,273,128,76,88,137
BF,8,5,11,9,11,4,7,5,8,4,5,18,19,20,20,27,46,46,28,21,28,30,55,23
BI,1,0,1,2,4,3,5,3,4,4,4,0,1,10,5,5,0,2,1,3,52,3,5,1
KH,4,8,6,9,9,7,6,9,10,13,12,5,12,14,35,20,30,24,34,30,58,67,127,81
CM,76,91,75,77,97,101,104,92,102,107,104,130,189,225,210,215,135,129,116,111,151,129,116,104
CA,3370,3425,3780,4623,4456,4404,4666,4902,5111,5956,5994,6477,6665,7780,8983,8129,8595,8441,8278,10082,10601,11990,11643,11875
CV,8,6,9,6,8,11,11,8,8,8,5,46,15,15,10,11,14,21,6,7,2,0,2,0
KY,1013,893,959,1094,1179,1339,1487,1789,2512,2742,3329,3247,2958,2580,2371,2831,2878,2662,2571,2965,2844,3899,3437,3114
CF,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,1,92
TD,25,25,27,30,36,35,36,38,42,44,46,36,52,51,73,45,92,105,25,9,21,35,38,12
CL,283,245,184,190,220,196,213,228,266,298,483,536,750,790,1043,924,1447,837,755,884,1003,1012,1119,772
CN,1387,1472,2103,2508,2834,2806,3642,5134,5569,6611,8083,10819,8989,11528,14789,15583,16898,19373,18411,19497,25242,27108,36297,26032
CX,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,8,0
CC,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,235,277,174,178,261,165,210,219,216,218,231,252,272,429,667,683,571,557,714,582,868,618,798,652
KM,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CG,51,63,36,44,44,45,41,47,52,65,81,124,170,201,184,133,148,172,560,553,263,65,622,67
CD,19,12,7,8,16,14,17,15,19,25,21,35,29,33,55,44,81,88,65,58,91,88,68,70
CK,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0
CR,50,42,43,40,48,60,58,55,54,47,59,68,72,70,75,70,125,116,106,93,95,99,111,115
CU,27,38,29,27,22,22,30,24,32,37,35,35,41,43,36,55,46,41,44,51,65,42,53,48
CW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,120,58,389,57,61,39
DJ,16,17,19,21,10,14,24,9,4,5,5,7,7,13,9,32,10,17,16,15,213,16,24,24
DM,12,14,20,11,10,10,6,6,5,5,6,6,9,5,4,5,4,2,6,10,10,11,204,8
DO,49,51,47,59,56,61,54,44,70,72,79,87,160,168,99,93,85,90,160,121,127,163,130,112
TL,0,0,0,0,2,1,0,0,0,4,4,0,0,0,1,0,0,0,4,0,1,0,16,16
EC,65,63,44,53,54,65,54,46,59,75,61,57,72,71,96,377,322,154,110,80,158,135,151,94
EG,800,853,904,850,854,688,749,988,1011,1103,1964,2216,2298,2076,1796,1844,1613,1799,1761,1912,1919,1911,2211,1672
SV,22,19,13,18,13,14,22,29,41,30,14,14,22,21,20,19,17,19,22,26,29,43,62,32
GQ,63,67,62,90,97,111,127,110,124,138,130,125,152,226,234,198,135,163,129,59,162,77,95,119
ER,9,14,8,7,8,5,9,6,8,4,4,4,5,5,5,6,9,2,0,4,0,8,1,3
SZ,6,4,4,6,7,5,5,7,10,14,10,20,48,13,18,5,4,4,4,8,13,9,28,6
ET,89,73,61,63,64,73,82,70,70,80,95,89,138,117,277,203,151,175,233,277,354,387,587,463
FK,22,48,20,31,23,22,31,28,30,27,29,28,31,70,81,65,53,76,257,131,68,112,118,102
FO,9,8,5,7,29,6,12,7,5,12,22,21,13,19,14,14,11,13,16,15,19,42,30,34
FJ,41,43,42,57,45,50,59,66,68,63,74,82,19,42,17,10,24,20,33,27,28,27,36,40
PF,4,4,2,1,3,7,12,8,11,6,8,8,2,5,6,1,1,5,17,27,28,33,33,30
TF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,57,55,47,50,71,63,78,89,78,81,84,131,110,127,155,142,118,121,147,67,121,78,130,98
GE,18,31,22,26,32,27,37,61,46,50,55,103,70,92,89,88,79,87,110,157,152,97,138,130
GH,381,336,286,303,274,275,302,311,313,365,389,438,746,702,827,1211,715,723,922,1323,733,667,655,563
GI,208,201,224,273,257,317,396,402,441,562,624,987,1103,878,1313,1854,1761,1907,2057,1904,2617,2846,4280,3544
GL,0,2,1,3,2,0,0,1,0,0,0,25,0,41,73,0,3,0,14,14,13,14,13,11
GD,9,12,9,12,9,6,9,8,13,8,5,7,9,11,3,8,8,10,12,13,15,16,32,27
GU,0,0,0,0,0,1,2,0,1,4,1,0,5,11,12,80,0,1,6,8,14,8,8,9
GT,39,44,38,34,41,41,35,46,38,42,40,44,37,38,42,43,41,46,44,40,52,45,104,66
GG,269,247,277,291,302,387,492,518,604,699,932,1127,1017,943,875,995,1241,1333,3081,3342,2654,2900,2605,2059
GN,27,21,23,33,33,42,40,25,39,53,39,43,147,69,85,247,246,102,53,51,72,52,54,64
GW,0,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,48,0,0,0,1,0,0
GY,41,37,34,33,32,29,37,23,31,34,39,37,45,51,44,67,60,65,65,97,119,251,467,572
HT,10,9,8,6,11,14,16,7,9,8,8,13,11,23,21,16,10,8,10,16,19,15,15,18
HM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,20,24,17,15,18,15,20,15,20,15,19,19,24,21,17,19,17,15,18,20,19,17,24,20
HK,4373,3969,3702,4160,4233,3917,4186,4213,4986,4748,4516,5785,5374,6402,7541,7610,8329,7725,8647,9897,11549,12302,13579,12600
IS,176,179,181,247,223,228,237,279,306,316,362,391,265,269,282,408,328,350,428,863,866,750,700,464
IN,2069,1803,2133,2810,2547,2441,3148,3676,4248,4795,5449,6668,4843,6902,8631,7457,7468,6504,6910,6069,6770,9375,9002,7109
ID,749,412,406,468,490,468,640,616,582,546,481,582,582,745,929,1046,1080,1011,1075,1079,1571,1439,1444,1381
9A,22,28,33,36,39,41,49,2,70,6,91,98,142,102,121,111,28,52,82,130,160,173,171,146
IR,508,422,328,441,583,578,691,677,723,731,563,673,577,436,319,260,183,190,199,283,400,308,176,135
IQ,98,123,136,164,179,177,269,263,328,299,445,646,562,701,869,815,941,902,733,484,596,568,642,507
IM,117,107,120,126,130,167,214,223,261,302,402,268,273,232,158,127,282,303,542,643,552,659,473,650
IL,1670,1577,1820,2045,1914,1919,1734,1825,1938,1760,1783,1765,1712,1902,2361,2124,2019,1827,2004,2183,2356,2555,3089,2727
CI,87,79,74,84,95,76,80,104,99,82,86,161,168,110,107,187,111,127,228,333,313,146,239,174
JM,82,84,77,83,95,106,91,85,103,119,121,106,114,121,126,90,89,81,157,111,118,116,93,69
JP,7326,6270,6683,7563,7824,7687,7781,8237,8528,8796,7644,7610,7944,8177,9126,8956,9353,9583,9521,10460,11473,12782,12963,11908
JE,929,860,960,1009,1051,1347,1706,1798,2099,2422,3232,3912,3507,3282,3014,3380,4227,4539,2290,2513,2488,1886,2536,2785
JO,181,161,157,181,222,183,220,209,259,222,254,308,364,341,399,340,530,535,449,516,611,401,495,454
KZ,391,468,453,526,605,529,606,692,841,1079,1132,976,1021,752,879,1038,1207,1103,985,2347,1861,1900,1979,837
KE,343,337,301,282,304,295,322,330,356,380,391,389,530,587,693,816,731,744,663,795,666,777,677,514
KI,0,0,0,0,0,0,0,0,3,2,3,0,5,5,7,0,3,0,0,0,0,0,0,0
XK,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,1,2,1,4,2,8,11,10
KW,530,503,449,486,513,549,614,685,824,867,1086,1182,1236,1174,1193,1321,1515,1463,1636,1886,2485,2510,2668,1875
KG,1,1,1,4,1,0,1,2,3,4,5,5,18,11,24,20,24,24,12,21,15,13,13,8
LA,1,1,5,3,0,0,0,0,1,4,6,4,4,4,10,5,2,0,22,8,10,19,23,3
LB,223,214,196,184,242,211,265,258,271,271,292,384,445,544,524,568,836,812,590,551,645,680,676,435
LS,9,4,4,4,5,6,5,6,8,8,8,11,13,8,8,6,4,4,4,10,3,5,4,5
LR,22,17,25,24,20,16,15,20,25,26,27,48,32,53,89,49,46,51,34,45,33,66,50,33
LY,333,299,230,273,252,300,361,345,359,373,415,471,829,915,468,461,430,305,204,240,285,221,265,174
LI,10,3,3,7,2,4,7,18,12,32,188,70,70,56,66,62,29,50,81,90,115,107,65,166
MO,26,40,23,45,23,18,20,19,25,32,28,25,34,45,55,66,83,72,155,76,80,97,125,145
MG,21,19,18,21,22,16,21,24,26,22,26,42,47,47,50,35,38,40,23,25,47,25,25,12
MW,37,33,37,35,34,45,39,41,45,48,50,49,69,75,43,74,23,24,28,39,45,31,40,51
MY,1790,1300,1269,1432,1514,1356,1449,1563,1440,1501,1532,1757,1752,2102,2336,2516,2803,2669,2661,2726,2864,2600,2764,2450
MV,14,6,9,8,12,5,12,17,16,19,21,20,16,15,22,24,31,34,30,26,24,33,38,20
ML,35,29,28,31,30,32,33,28,21,19,19,31,32,26,27,25,49,60,55,32,69,82,83,86
MH,10,6,6,10,4,8,8,4,5,4,8,51,53,80,96,48,42,29,60,78,63,106,107,142
MR,16,18,12,17,19,32,44,39,70,40,26,45,27,60,40,75,96,58,32,24,55,19,54,19
MU,134,143,120,127,131,134,139,133,152,159,163,196,289,448,491,582,361,418,362,330,441,469,438,480
MX,624,795,807,835,938,1001,1046,1028,1026,1192,1284,1353,1241,1479,1550,1685,1868,1819,2162,2223,2640,2500,2578,2020
FM,0,0,0,0,0,0,0,0,0,0,0,0,4,15,4,0,0,0,0,0,0,0,0,0
MD,7,7,8,8,15,8,9,9,19,26,24,41,43,57,60,51,69,68,75,55,56,49,39,39
MN,5,4,5,5,5,6,6,4,8,4,5,12,10,23,27,38,45,33,42,21,46,38,143,437
ME,0,0,0,6,0,0,0,0,0,0,36,21,27,71,124,178,28,11,10,24,17,26,45,16
MS,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,4,4,15,1,1,0,1
MA,419,413,417,473,444,408,392,440,285,446,489,634,436,686,720,865,683,833,704,1102,1117,957,994,697
MZ,58,62,58,67,68,71,80,72,80,87,86,82,143,562,198,153,268,311,317,115,120,156,297,457
MM,18,17,9,13,15,10,8,5,5,6,7,5,5,9,9,18,146,133,161,119,126,114,187,161
NA,23,40,42,39,41,39,45,47,53,55,50,121,119,180,172,186,86,81,121,95,61,108,59,73
NR,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
NP,16,18,12,14,13,13,13,15,16,18,19,13,18,31,45,51,55,53,102,80,80,32,224,47
NC,17,9,11,9,8,10,9,15,10,11,17,17,15,28,20,19,12,13,19,13,20,22,25,23
NZ,762,740,746,690,625,609,704,829,853,806,766,747,779,873,1009,1122,1151,1217,1148,1355,1500,1725,1535,1254
NI,0,4,7,7,1,3,2,0,4,4,5,5,18,15,12,20,20,14,29,34,14,8,22,12
NE,2,1,1,4,5,5,6,6,7,3,3,4,10,37,31,25,21,30,19,18,25,20,7,3
NG,627,685,672,780,905,1022,1033,1124,1140,1222,2428,3063,2848,2763,3217,3104,2809,2896,2701,2245,2547,2832,2694,1779
NU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,0
NF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,31,17,17,22,35,24,15,4,8,8,8,18,15,8,12,13,29,24,8,5,8,20,16,10
MK,28,37,48,39,43,39,43,45,50,51,65,51,53,255,320,360,478,596,676,912,943,1034,1448,1211
MP,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
NO,3321,3643,3258,3149,2914,3158,3327,3559,4113,4611,5235,5111,5261,5833,6130,6779,7118,7351,6321,5870,6651,7170,7699,7626
PS,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,4,2,0,13,17,16,20,6,15
OM,258,279,235,252,311,237,289,330,313,273,364,573,519,604,625,657,720,710,794,1590,3512,1590,1111,869
PK,527,529,525,382,528,452,508,615,1036,965,814,885,809,810,911,1010,903,992,1005,1184,1257,1286,1346,834
PW,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0
PA,99,105,80,69,83,97,117,103,120,155,244,207,221,359,364,315,306,294,292,257,248,255,318,186
PG,28,25,23,31,24,35,34,30,35,34,38,41,142,144,138,89,248,138,39,72,56,33,34,19
PY,72,49,34,30,29,18,21,17,17,17,17,21,24,37,43,36,48,49,31,39,42,48,42,26
PE,184,164,150,155,125,127,140,95,157,172,177,185,153,168,207,205,223,243,239,251,294,261,261,187
PH,775,431,370,426,549,444,499,442,411,362,359,409,404,455,438,567,567,548,623,658,836,866,1163,883
PN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
QA,941,374,290,333,344,389,472,543,637,808,1039,1349,1395,1670,1843,2051,2549,2583,2803,3264,3448,3541,4397,3699
RU,1587,1345,1038,1344,1544,1758,2262,2472,3012,3657,4448,5690,3779,4733,6368,6535,6492,5959,4465,4399,4995,4524,4762,4082
RW,8,5,4,5,7,6,6,6,8,5,8,19,18,27,19,35,14,13,20,16,23,25,24,19
WS,1,0,1,0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13,0,0,1
SM,14,15,14,9,8,10,6,8,11,6,9,15,10,15,7,0,3,1,3,4,12,9,8,1
ST,1,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
SA,3176,3054,2989,3186,3012,2907,3537,3461,3572,3929,3268,3605,5068,6624,5830,7872,9625,9163,10823,10559,9900,8157,8372,8198
SN,51,57,54,66,80,84,109,121,179,321,230,693,431,735,883,1283,419,398,144,212,398,375,278,153
RS,34,41,27,82,51,65,69,71,63,84,155,163,189,278,229,196,187,185,184,207,246,272,254,290
SC,31,33,26,29,30,31,29,31,32,36,33,53,65,44,66,36,34,41,35,47,56,108,67,37
SL,46,33,63,116,79,46,43,39,46,35,34,77,91,77,92,96,95,78,70,56,75,69,71,47
SG,3263,2854,2940,2970,3181,2838,3380,3978,4832,5764,7003,6968,7066,7355,8460,8052,8220,8293,8568,8758,9752,9643,11970,9918
SX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,8,12,9,14,9
SB,0,0,2,0,0,0,0,0,0,1,0,1,13,13,8,4,7,1,6,6,9,10,8,8
SO,0,0,1,13,8,11,7,9,4,4,4,0,8,28,2,12,22,16,22,46,58,47,36,26
ZA,2683,2678,2475,2580,2800,2747,3108,3159,3427,3769,3963,3856,3507,4257,4982,4931,4507,4703,4423,4366,4606,4409,4274,3594
GS,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,0,0,0,0,0,0,0,0,0
KR,1694,1115,1359,1753,1839,2022,2053,2656,2584,2834,2962,3434,2919,3155,3945,6018,6568,6278,6791,6915,8845,9492,6841,7209
SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,30,38,32,28
LK,250,196,197,233,218,190,196,221,210,232,221,221,198,254,302,271,303,277,392,336,327,525,432,267
KN,12,13,8,12,9,5,9,10,11,14,14,12,12,10,10,14,13,17,16,8,23,12,31,7
LC,19,18,20,16,20,17,20,19,25,38,21,31,21,26,32,18,17,16,33,59,52,39,33,50
VC,13,14,15,11,17,18,18,20,22,24,28,15,17,14,12,15,20,17,15,21,20,21,19,21
SH,15,10,12,14,15,18,9,11,21,12,15,11,24,24,22,19,21,16,27,61,19,24,29,27
SD,79,107,115,89,119,112,136,137,186,206,166,220,215,271,230,196,215,206,162,94,105,138,151,131
SR,22,24,19,20,13,16,20,14,16,18,18,18,27,25,19,18,19,13,15,19,17,13,19,13
CH,4873,4697,4754,5439,6499,6201,6519,6447,9211,8993,8973,10104,12026,13090,13818,13695,17478,16650,17780,20100,19010,21146,23207,24309
