iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BA,4,4,4,4,4,4,6,7,8,8,12,16,12,23,40,30,22,24,21,51,29,15,24,52
BW,27,29,29,32,37,38,40,38,44,49,47,46,76,78,86,62,47,58,273,250,266,307,281,345
BV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,379,416,492,495,504,417,426,438,468,689,982,1158,917,1337,1877,1915,1755,1774,1785,1401,1312,1420,1781,1129
IO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1
VG,506,445,478,547,589,671,746,897,1264,1380,1674,1658,1209,1742,1539,1148,1126,1036,1245,1214,797,714,742,538
BN,13,13,15,17,20,17,19,22,26,35,34,37,44,50,46,54,152,139,139,178,61,27,28,27
BF,4,4,4,4,4,4,4,4,4,4,4,12,12,8,8,12,31,36,17,11,16,12,13,9
BI,0,0,0,1,3,3,4,3,4,4,4,0,0,8,4,4,0,0,0,3,51,0,0,0
KH,4,4,4,5,7,5,5,7,8,12,11,4,10,10,15,8,12,12,17,11,20,25,79,43
CM,45,52,50,52,62,63,69,65,74,82,79,101,158,183,159,155,67,81,73,66,105,84,66,56
CA,1205,1302,1345,1482,1608,1484,1651,1833,1964,2263,2822,3053,3162,3480,3991,3844,4484,4413,4264,5192,5274,5763,5991,5745
CV,3,4,4,4,4,4,4,4,4,4,4,4,12,13,8,9,0,0,4,4,2,0,0,0
KY,1001,881,947,1085,1167,1328,1476,1776,2499,2729,3314,3237,2947,2569,2360,2809,2864,2637,2552,2660,2808,3883,3417,3077
CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,88
TD,24,25,27,28,33,32,36,34,39,43,41,25,37,37,67,38,80,97,25,8,15,12,7,4
CL,58,69,68,72,78,76,83,84,109,103,290,270,259,193,285,245,314,329,292,403,366,399,386,361
CN,485,526,712,799,978,1227,1587,2284,2510,2935,3253,4733,3367,3419,4449,4347,4752,5024,5935,6028,7115,7404,8590,8059
CX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,47,54,62,70,154,79,92,98,95,82,85,94,103,206,359,374,237,223,322,295,344,173,190,177
KM,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CG,21,23,23,24,27,27,29,29,33,37,35,69,90,118,127,79,79,94,406,422,202,33,592,41
CD,5,7,7,7,8,8,8,8,8,9,9,21,16,15,31,18,44,54,39,38,67,59,39,44
CK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
CR,4,4,4,4,4,4,4,8,10,12,12,17,45,34,26,21,71,65,28,27,24,30,48,67
CU,6,5,6,7,8,8,8,12,15,17,20,20,31,26,20,28,22,20,17,25,38,30,38,41
CW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,47,376,44,53,32
DJ,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,4,4,4,7,201,5,4,3
DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,192,1
DO,8,5,8,8,8,9,12,12,18,20,24,25,74,54,22,17,12,10,12,15,22,54,25,25
TL,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,1,0,16,16
EC,20,23,23,26,20,19,21,13,28,30,26,16,11,16,22,35,25,30,25,39,46,35,47,19
EG,269,316,356,333,403,236,277,418,447,529,1282,1268,1286,892,680,917,667,710,723,641,640,649,794,575
SV,0,0,0,0,0,0,3,4,4,4,4,4,13,8,4,4,4,4,4,8,8,13,12,11
GQ,52,58,56,60,70,72,77,74,84,93,90,80,107,107,170,141,85,103,95,37,136,48,49,85
ER,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,0,5,0,2
SZ,4,4,4,4,4,4,4,4,5,8,6,17,43,7,16,4,4,4,4,8,13,9,27,6
ET,25,28,27,28,33,35,37,35,40,43,43,37,66,64,137,83,44,53,65,89,102,100,70,156
FK,4,4,4,4,4,4,4,3,4,4,4,4,9,11,16,3,4,4,122,82,18,56,55,48
FO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,2,1,1
FJ,30,37,36,54,45,49,56,59,67,61,70,78,16,38,16,8,19,10,25,16,12,9,22,33
PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,19,25,24,24
TF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,29,33,31,33,39,39,43,41,48,52,51,84,65,81,101,87,55,67,111,43,79,47,85,55
GE,8,9,8,11,12,10,10,11,17,13,21,64,41,52,38,32,33,29,46,50,48,32,54,65
