iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BA,4,4,8,8,8,10,13,12,13,23,23,36,79,23,95,51,42,44,44,134,43,45,53,47
BW,117,84,252,358,1062,998,1093,1157,1153,1209,1606,505,251,588,2412,1814,2340,26,30,28,28,23,5,7
BV,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR,1059,1047,1045,1234,1508,1615,1764,1855,2032,2215,2277,3337,2840,3500,3160,3001,3454,3124,2800,2594,2688,2645,2820,2400
IO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VG,59,64,63,82,77,87,117,151,148,156,161,129,187,179,139,156,159,167,532,125,61,65,198,30
BN,351,176,68,75,29,20,30,41,14,30,41,12,41,13,27,21,14,20,20,49,18,115,9,4
BF,0,0,0,0,1,0,0,0,1,0,0,2,0,4,1,0,12,15,13,11,15,10,14,9
BI,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KH,27,31,49,63,93,102,107,120,84,105,109,125,184,266,362,459,557,642,771,873,944,892,953,665
CM,48,47,49,53,48,75,108,223,188,78,76,100,140,122,71,143,122,175,137,80,60,54,70,65
CA,3330,3380,3887,4884,4609,4404,4494,5106,5326,6035,7084,7462,5892,7439,8210,7116,11164,10513,7578,7010,8261,8859,11530,7312
CV,0,1,4,3,4,7,6,1,1,2,3,4,4,4,5,7,2,4,0,1,0,2,2,35
KY,29,28,32,39,38,38,42,58,52,63,63,75,41,90,145,233,974,981,574,513,181,225,474,206
CF,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TD,4,4,4,4,5,8,10,9,8,9,9,6,5,0,0,0,9,9,8,8,4,3,4,2
CL,425,395,383,526,550,507,441,604,574,559,600,641,692,624,663,635,730,739,682,756,808,1067,1000,628
CN,2973,3709,4348,5893,7143,8717,10174,11796,14646,17814,20349,24265,26759,31859,31976,31544,32767,35863,39550,42894,45182,46052,50506,56877
CX,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
CO,189,223,218,248,311,244,237,303,317,350,434,670,558,735,1011,1068,904,842,703,616,646,593,592,479
KM,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CG,13,16,16,14,11,17,21,20,23,27,34,28,46,74,33,103,262,117,61,161,42,49,41,59
CD,14,7,9,8,8,12,14,17,18,14,13,19,15,14,15,28,24,25,21,12,14,16,16,17
CK,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
