country,sector,service
china,renewable energy,export_wins
italy,retail,export_wins
ireland,food and drink,export_wins
switzerland,"agriculture, horticulture and fisheries",export_wins
sweden,airports,export_wins
poland,automotive,export_wins
ireland,business (and consumer) services,export_wins
bulgaria,chemicals,export_wins
singapore,food and drink : meat products,export_wins
mexico,education and training,export_wins
sweden,ict,export_wins
philippines,railways,export_wins
china,creative and media : architecture,export_wins
poland,mechanical electrical and process engineering,export_wins
italy,business (and consumer) services,export_wins
azerbaijan,advanced engineering,export_wins
belgium,security : cyber security,export_wins
ireland,ports and logistics,export_wins
finland,business (and consumer) services,export_wins
iceland,leisure and tourism : sports and leisure infrastructure,export_wins
saudi arabia,healthcare and medical : healthcare services,export_wins
colombia,food and drink : beverages and alcoholic drinks,export_wins
portugal,food and drink,export_wins
barbados,education and training,export_wins
finland,education and training,export_wins
germany,"household goods, furniture and furnishings",export_wins
iran,financial services (including professional services) : professional services : legal services,export_wins
india,electronics and it hardware : electronics and it technologies : component technologies,export_wins
hong kong,retail,export_wins
united arab emirates,education and training,export_wins
switzerland,education and training,export_wins
qatar,leisure and tourism,export_wins
china,construction,export_wins
jordan,ict,export_wins
germany,biotechnology and pharmaceuticals,export_wins
france,"clothing, footwear and fashion",export_wins
netherlands,food and drink : beverages and alcoholic drinks,export_wins
poland,life sciences,export_wins
canada,retail,export_wins
saudi arabia,advanced engineering,export_wins
czechia,food and drink,export_wins
india,automotive,export_wins
czechia,"metals, minerals and materials : metals",export_wins
australia,railways,export_wins
switzerland,"metals, minerals and materials",export_wins
hong kong,advanced engineering,export_wins
china,power : nuclear,export_wins
slovakia,education and training,export_wins
india,advanced engineering,export_wins
libya,life sciences,export_wins
philippines,food and drink : food and drink manufacturing,export_wins
india,education and training,export_wins
belgium,"metals, minerals and materials : metals",export_wins
monaco,"clothing, footwear and fashion",export_wins
spain,education and training,export_wins
china,food and drink,export_wins
romania,retail,export_wins
china,education and training,export_wins
iran,healthcare and medical : healthcare marketing and sales : healthcare retail,export_wins
denmark,security,export_wins
spain,retail,export_wins
ireland,education and training,export_wins
china,"creative and media : creative and media retail : books, newspapers and stationery",export_wins
mauritania,mining,export_wins
india,automotive : automotive maintenance,export_wins
austria,retail,export_wins
germany,"clothing, footwear and fashion",export_wins
china,food and drink : beverages and alcoholic drinks,export_wins
china,marine,export_wins
netherlands,financial services (including professional services),export_wins
new zealand,leisure and tourism,export_wins
nigeria,"agriculture, horticulture and fisheries",export_wins
austria,retail,export_wins
bulgaria,retail,export_wins
italy,healthcare and medical : medical consumables,export_wins
egypt,education and training,export_wins
poland,food and drink : beverages and alcoholic drinks,export_wins
china,electronics and it hardware : electronic instruments,export_wins
libya,automotive,export_wins
germany,business (and consumer) services,export_wins
poland,"metals, minerals and materials : composite materials",export_wins
luxembourg,retail,export_wins
south korea,software and computer services business to business (b2b) : industry applications,export_wins
germany,"clothing, footwear and fashion",export_wins
ireland,food and drink : bakery products,export_wins
india,global sports projects,export_wins
denmark,food and drink,export_wins
hong kong,food and drink,export_wins
france,mechanical electrical and process engineering,export_wins
israel,retail,export_wins
united arab emirates,ict,export_wins
france,"creative and media : art, design and creativity : design",export_wins
china,creative and media : media : publishing,export_wins
greece,food and drink,export_wins
south africa,chemicals : cleaning preparations,export_wins
canada,food and drink,export_wins
ireland,"clothing, footwear and fashion",export_wins
russia,food and drink : food and drink manufacturing,export_wins
cayman islands,"creative and media : art, design and creativity : design",export_wins
united arab emirates,"clothing, footwear and fashion",export_wins
switzerland,chemicals,export_wins
poland,food and drink,export_wins
germany,biotechnology and pharmaceuticals,export_wins
united arab emirates,construction,export_wins
netherlands,communications : mobile,export_wins
ireland,automotive : automotive maintenance,export_wins
hong kong,software and computer services business to business (b2b),export_wins
india,chemicals,export_wins
germany,food and drink,export_wins
vietnam,biotechnology and pharmaceuticals : biotechnology : biomanufacturing,export_wins
poland,retail,export_wins
nigeria,advanced engineering,export_wins
finland,food and drink : beverages and alcoholic drinks,export_wins
vietnam,defence,export_wins
china,leisure and tourism,export_wins
brazil,marine,export_wins
brazil,oil and gas,export_wins
saudi arabia,"textiles, interior textiles and carpets",export_wins
belgium,food and drink,export_wins
greece,"chemicals : paint, coating and adhesive products",export_wins
estonia,"household goods, furniture and furnishings",export_wins
ireland,food and drink : beverages and alcoholic drinks,export_wins
qatar,"textiles, interior textiles and carpets",export_wins
spain,"clothing, footwear and fashion",export_wins
india,healthcare and medical,export_wins
france,retail,export_wins
taiwan,renewable energy : wind : renewable energy: wind: offshore,export_wins
spain,construction,export_wins
tunisia,power,export_wins
netherlands,oil and gas,export_wins
switzerland,ict,export_wins
ireland,retail,export_wins
china,energy,export_wins
netherlands,renewable energy : solar,export_wins
oman,education and training,export_wins
switzerland,food and drink : beverages and alcoholic drinks,export_wins
kuwait,education and training,export_wins
qatar,global sports projects : major events,export_wins
poland,chemicals,export_wins
egypt,life sciences,export_wins
slovakia,education and training,export_wins
canada,defence and security,export_wins
spain,"clothing, footwear and fashion : footwear",export_wins
india,mechanical electrical and process engineering,export_wins
ethiopia,construction,export_wins
saudi arabia,construction,export_wins
malaysia,food and drink,export_wins
australia,food and drink,export_wins
hong kong,"giftware, jewellery and tableware",export_wins
france,food and drink,export_wins
belgium,retail,export_wins
china,retail,export_wins
poland,software and computer services business to business (b2b),export_wins
south africa,retail,export_wins
turkey,creative and media,export_wins
switzerland,education and training,export_wins
taiwan,food and drink,export_wins
iran,retail,export_wins
saudi arabia,water,export_wins
monaco,marine,export_wins
latvia,healthcare and medical : medical equipment : dental aesthetics,export_wins
saudi arabia,food and drink,export_wins
australia,electronics and it hardware : electronics and it technologies : display technologies,export_wins
south korea,advanced engineering,export_wins
singapore,food and drink,export_wins
denmark,business (and consumer) services,export_wins
germany,retail,export_wins
austria,"clothing, footwear and fashion : clothing",export_wins
qatar,global sports projects,export_wins
united arab emirates,creative and media : architecture,export_wins
hungary,automotive : manufacturing and assembly : agricultural machinery,export_wins
oman,communications,export_wins
haiti,food and drink,export_wins
indonesia,airports,export_wins
singapore,advanced engineering,export_wins
china,food and drink : pet food,export_wins
china,renewable energy : wind : renewable energy: wind: offshore,export_wins
denmark,creative and media : media : video games,export_wins
germany,food and drink : brewing,export_wins
switzerland,healthcare and medical : healthcare marketing and sales : healthcare wholesale,export_wins
japan,retail,export_wins
pakistan,energy,export_wins
netherlands,business (and consumer) services,export_wins
canada,leisure and tourism,export_wins
germany,"agriculture, horticulture and fisheries",export_wins
china,electronics and it hardware : electronics and it technologies : component technologies,export_wins
russia,retail,export_wins
canada,"clothing, footwear and fashion",export_wins
japan,retail,export_wins
united arab emirates,leisure and tourism : sports and leisure infrastructure,export_wins
south korea,retail,export_wins
germany,healthcare and medical,export_wins
poland,chemicals,export_wins
denmark,construction,export_wins
australia,"household goods, furniture and furnishings",export_wins
united arab emirates,electronics and it hardware,export_wins
ireland,railways,export_wins
china,railways,export_wins
laos,environment,export_wins
india,oil and gas,export_wins
italy,leisure and tourism,export_wins
ghana,construction,export_wins
ghana,aerospace : manufacturing and assembly,export_wins
belgium,biotechnology and pharmaceuticals,export_wins
slovakia,food and drink,export_wins
belgium,healthcare and medical : medical devices and systems : optical precision instruments,export_wins
estonia,water,export_wins
spain,retail,export_wins
united arab emirates,leisure and tourism,export_wins
chile,energy,export_wins
australia,software and computer services business to business (b2b),export_wins
china,leisure and tourism,export_wins
ecuador,mining,export_wins
kuwait,renewable energy : solar,export_wins
kuwait,food and drink,export_wins
hungary,food and drink : food and drink manufacturing,export_wins
sweden,railways,export_wins
qatar,global sports projects : major events,export_wins
australia,software and computer services business to business (b2b),export_wins
poland,retail,export_wins
switzerland,"clothing, footwear and fashion : clothing",export_wins
new zealand,food and drink : beverages and alcoholic drinks,export_wins
estonia,construction,export_wins
czechia,leisure and tourism,export_wins
italy,food and drink : brewing,export_wins
new zealand,"chemicals : paint, coating and adhesive products",export_wins
france,"household goods, furniture and furnishings",export_wins
china,food and drink : brewing,export_wins
chile,defence,export_wins
brazil,mining,export_wins
poland,education and training,export_wins
china,education and training,export_wins
australia,leisure and tourism,export_wins
sweden,education and training,export_wins
hong kong,education and training,export_wins
france,"clothing, footwear and fashion",export_wins
colombia,education and training,export_wins
finland,"agriculture, horticulture and fisheries",export_wins
china,airports,export_wins
jordan,education and training,export_wins
denmark,financial services (including professional services),export_wins
slovakia,security,export_wins
belgium,retail,export_wins
poland,security,export_wins
ireland,"textiles, interior textiles and carpets",export_wins
serbia,education and training,export_wins
china,aerospace,export_wins
italy,security,export_wins
germany,"clothing, footwear and fashion",export_wins
ireland,environment,export_wins
iran,life sciences,export_wins
china,advanced engineering,export_wins
pakistan,business (and consumer) services,export_wins
switzerland,creative and media : creative and media distribution : film and video,export_wins
thailand,security,export_wins
united arab emirates,construction,export_wins
united arab emirates,electronics and it hardware,export_wins
norway,marine,export_wins
india,railways,export_wins
japan,food and drink,export_wins
costa rica,advanced engineering,export_wins
new zealand,business (and consumer) services,export_wins
sweden,business (and consumer) services,export_wins
lithuania,business (and consumer) services : marketing services,export_wins
switzerland,"clothing, footwear and fashion : clothing",export_wins
germany,advanced engineering,export_wins
netherlands,retail,export_wins
united arab emirates,education and training,export_wins
qatar,defence and security,export_wins
brazil,oil and gas,export_wins
iceland,environment,export_wins
united arab emirates,construction,export_wins
mongolia,mining,export_wins
hong kong,financial services (including professional services) : insurance,export_wins
netherlands,food and drink,export_wins
saudi arabia,oil and gas,export_wins
spain,creative and media : media : music,export_wins
mexico,automotive,export_wins
germany,mechanical electrical and process engineering,export_wins
hong kong,food and drink : meat products,export_wins
austria,"agriculture, horticulture and fisheries",export_wins
peru,global sports projects : major events,export_wins
belgium,healthcare and medical,export_wins
germany,healthcare and medical,export_wins
czechia,power,export_wins
russia,security,export_wins
lithuania,railways,export_wins
indonesia,automotive : automotive retail,export_wins
united arab emirates,financial services (including professional services),export_wins
brazil,construction,export_wins
australia,security,export_wins
australia,food and drink,export_wins
australia,"textiles, interior textiles and carpets",export_wins
united arab emirates,biotechnology and pharmaceuticals : pharmaceuticals,export_wins
argentina,construction,export_wins
china,"creative and media : media : film, photography and animation",export_wins
sweden,"textiles, interior textiles and carpets",export_wins
germany,security,export_wins
australia,construction,export_wins
france,"clothing, footwear and fashion",export_wins
italy,life sciences,export_wins
russia,mechanical electrical and process engineering,export_wins
lebanon,aerospace : maintenance,export_wins
united arab emirates,construction,export_wins
singapore,construction,export_wins
kazakhstan,oil and gas,export_wins
italy,security,export_wins
vietnam,food and drink,export_wins
belgium,food and drink : pet food,export_wins
hungary,retail,export_wins
malaysia,education and training,export_wins
mexico,business (and consumer) services,export_wins
japan,creative and media,export_wins
france,retail,export_wins
china,oil and gas,export_wins
germany,"clothing, footwear and fashion : clothing",export_wins
qatar,life sciences,export_wins
germany,"clothing, footwear and fashion : clothing",export_wins
germany,leisure and tourism,export_wins
netherlands,food and drink,export_wins
united arab emirates,healthcare and medical,export_wins
saudi arabia,creative and media : creative and media retail,export_wins
taiwan,creative and media,export_wins
switzerland,advanced engineering,export_wins
south korea,"clothing, footwear and fashion",export_wins
china,environment : air pollution and noise control,export_wins
brazil,energy,export_wins
denmark,security,export_wins
malaysia,education and training,export_wins
austria,"clothing, footwear and fashion",export_wins
ukraine,automotive : manufacturing and assembly : agricultural machinery,export_wins
australia,communications : mobile,export_wins
germany,renewable energy : wind : renewable energy: wind: offshore,export_wins
slovenia,"clothing, footwear and fashion : clothing",export_wins
china,automotive,export_wins
france,life sciences,export_wins
argentina,mechanical electrical and process engineering,export_wins
south africa,security,export_wins
latvia,financial services (including professional services) : professional services : legal services,export_wins
france,creative and media : creative and media distribution : film and video,export_wins
australia,software and computer services business to business (b2b),export_wins
saudi arabia,food and drink : frozen and chilled foods,export_wins
china,railways,export_wins
spain,creative and media : events and attractions,export_wins
saudi arabia,food and drink,export_wins
vietnam,automotive,export_wins
china,oil and gas,export_wins
ireland,automotive : manufacturing and assembly : agricultural machinery,export_wins
spain,"giftware, jewellery and tableware",export_wins
poland,retail,export_wins
ireland,food and drink,export_wins
greece,marine,export_wins
russia,automotive : automotive maintenance,export_wins
japan,healthcare and medical,export_wins
canada,creative and media,export_wins
india,creative and media,export_wins
panama,construction,export_wins
india,software and computer services business to business (b2b),export_wins
italy,"giftware, jewellery and tableware",export_wins
united arab emirates,creative and media : creative and media distribution : film and video,export_wins
france,healthcare and medical,export_wins
hong kong,software and computer services business to business (b2b),export_wins
belgium,mechanical electrical and process engineering,export_wins
india,aerospace,export_wins
netherlands,retail,export_wins
belgium,healthcare and medical,export_wins
japan,chemicals,export_wins
qatar,global sports projects : major events,export_wins
hong kong,food and drink : frozen and chilled foods,export_wins
peru,healthcare and medical : medical devices and systems,export_wins
malta,business (and consumer) services : marketing services,export_wins
germany,"textiles, interior textiles and carpets",export_wins
luxembourg,defence and security,export_wins
italy,healthcare and medical,export_wins
germany,software and computer services business to business (b2b),export_wins
finland,retail,export_wins
cyprus,ports and logistics,export_wins
italy,environment,export_wins
united arab emirates,ports and logistics,export_wins
south korea,food and drink,export_wins
japan,"household goods, furniture and furnishings",export_wins
south korea,food and drink,export_wins
sweden,education and training,export_wins
china,creative and media : media : publishing,export_wins
qatar,global sports projects : major events,export_wins
germany,"clothing, footwear and fashion",export_wins
germany,food and drink,export_wins
germany,advanced engineering,export_wins
portugal,"textiles, interior textiles and carpets",export_wins
united arab emirates,construction,export_wins
france,"clothing, footwear and fashion : clothing",export_wins
jordan,food and drink,export_wins
italy,retail,export_wins
spain,advanced engineering,export_wins
jordan,"creative and media : creative and media retail : books, newspapers and stationery",export_wins
pakistan,construction,export_wins
germany,retail,export_wins
slovakia,healthcare and medical : medical equipment,export_wins
estonia,environment,export_wins
sweden,leisure and tourism : sports and leisure infrastructure,export_wins
hong kong,construction,export_wins
germany,food and drink,export_wins
austria,financial services (including professional services) : insurance,export_wins
romania,ict,export_wins
denmark,advanced engineering,export_wins
hong kong,food and drink,export_wins
switzerland,retail,export_wins
france,creative and media : architecture,export_wins
france,leisure and tourism,export_wins
germany,leisure and tourism,export_wins
hungary,"household goods, furniture and furnishings",export_wins
nigeria,oil and gas,export_wins
malaysia,retail,export_wins
poland,food and drink : pet food,export_wins
philippines,ict,export_wins
germany,biotechnology and pharmaceuticals,export_wins
norway,food and drink,export_wins
germany,automotive : automotive retail,export_wins
germany,business (and consumer) services,export_wins
kazakhstan,mining,export_wins
germany,"creative and media : art, design and creativity : fashion",export_wins
turkey,advanced engineering,export_wins
iran,energy,export_wins
tanzania,ports and logistics,export_wins
qatar,construction,export_wins
australia,education and training,export_wins
france,construction,export_wins
iraq,healthcare and medical : healthcare marketing and sales : healthcare wholesale,export_wins
israel,security,export_wins
india,construction,export_wins
united arab emirates,"clothing, footwear and fashion",export_wins
panama,ict,export_wins
china,food and drink : beverages and alcoholic drinks,export_wins
saudi arabia,education and training,export_wins
france,"metals, minerals and materials : plastics",export_wins
france,food and drink : bakery products,export_wins
mongolia,business (and consumer) services,export_wins
peru,mass transport,export_wins
czechia,food and drink,export_wins
sweden,security : cyber security,export_wins
germany,business (and consumer) services : hr services,export_wins
india,education and training,export_wins
chad,environment : waste management,export_wins
cuba,life sciences,export_wins
united arab emirates,business (and consumer) services,export_wins
luxembourg,creative and media,export_wins
mexico,security,export_wins
netherlands,advanced engineering,export_wins
jamaica,creative and media,export_wins
denmark,food and drink : frozen and chilled foods,export_wins
bangladesh,power,export_wins
china,education and training,export_wins
turkey,"clothing, footwear and fashion",export_wins
sweden,leisure and tourism,export_wins
netherlands,business (and consumer) services : hr services,export_wins
australia,creative and media,export_wins
switzerland,mechanical electrical and process engineering,export_wins
france,automotive : component manufacturing : electronic components,export_wins
poland,"metals, minerals and materials : plastics",export_wins
ireland,creative and media,export_wins
germany,healthcare and medical,export_wins
canada,"giftware, jewellery and tableware",export_wins
vietnam,security,export_wins
vietnam,education and training,export_wins
japan,power : nuclear : nuclear de-commissiong,export_wins
romania,business (and consumer) services,export_wins
italy,"creative and media : art, design and creativity",export_wins
thailand,"agriculture, horticulture and fisheries",export_wins
germany,"clothing, footwear and fashion",export_wins
france,retail,export_wins
netherlands,"clothing, footwear and fashion : clothing",export_wins
slovakia,creative and media : creative and media distribution : film and video,export_wins
united arab emirates,"household goods, furniture and furnishings",export_wins
germany,business (and consumer) services,export_wins
south africa,chemicals,export_wins
hong kong,leisure and tourism,export_wins
spain,food and drink : beverages and alcoholic drinks,export_wins
finland,"agriculture, horticulture and fisheries",export_wins
italy,retail,export_wins
switzerland,software and computer services business to business (b2b) : e-procurement,export_wins
germany,food and drink,export_wins
netherlands,security,export_wins
japan,business (and consumer) services,export_wins
united arab emirates,food and drink,export_wins
india,education and training,export_wins
chile,food and drink,export_wins
china,retail,export_wins
netherlands,retail,export_wins
ireland,advanced engineering,export_wins
monaco,food and drink,export_wins
romania,security,export_wins
china,"agriculture, horticulture and fisheries",export_wins
egypt,healthcare and medical,export_wins
romania,electronics and it hardware : electronics and it technologies : computing,export_wins
finland,food and drink : bakery products,export_wins
france,"clothing, footwear and fashion",export_wins
france,automotive,export_wins
indonesia,"textiles, interior textiles and carpets",export_wins
france,"textiles, interior textiles and carpets",export_wins
new zealand,"clothing, footwear and fashion : clothing : workwear",export_wins
poland,mining,export_wins
austria,creative and media : creative and media equipment : photo and cinema equipment,export_wins
spain,business (and consumer) services,export_wins
vietnam,retail,export_wins
china,healthcare and medical : healthcare services,export_wins
japan,"giftware, jewellery and tableware",export_wins
hong kong,education and training,export_wins
mexico,food and drink,export_wins
malaysia,construction,export_wins
india,electronics and it hardware,export_wins
hong kong,construction,export_wins
china,creative and media : media : publishing,export_wins
ireland,water,export_wins
thailand,"creative and media : art, design and creativity",export_wins
ecuador,healthcare and medical,export_wins
russia,healthcare and medical,export_wins
new zealand,automotive,export_wins
thailand,education and training,export_wins
ireland,"textiles, interior textiles and carpets",export_wins
canada,education and training,export_wins
barbados,construction,export_wins
south africa,construction,export_wins
czechia,automotive : component manufacturing,export_wins
netherlands,retail,export_wins
qatar,ict,export_wins
united arab emirates,water,export_wins
china,airports,export_wins
libya,mechanical electrical and process engineering,export_wins
philippines,software and computer services business to business (b2b),export_wins
russia,"household goods, furniture and furnishings",export_wins
ukraine,electronics and it hardware,export_wins
panama,education and training,export_wins
ireland,construction,export_wins
switzerland,education and training,export_wins
saudi arabia,mass transport,export_wins
saudi arabia,healthcare and medical : healthcare services,export_wins
bahrain,retail,export_wins
france,business (and consumer) services,export_wins
hong kong,"clothing, footwear and fashion",export_wins
somalia,defence and security,export_wins
india,software and computer services business to business (b2b),export_wins
denmark,financial services (including professional services) : asset management,export_wins
united arab emirates,advanced engineering,export_wins
sweden,automotive : manufacturing and assembly : agricultural machinery,export_wins
japan,power : nuclear : nuclear de-commissiong,export_wins
italy,creative and media,export_wins
hong kong,"giftware, jewellery and tableware",export_wins
denmark,creative and media,export_wins
slovenia,aerospace : maintenance,export_wins
italy,oil and gas,export_wins
kuwait,aerospace,export_wins
vietnam,education and training,export_wins
france,business (and consumer) services,export_wins
finland,"household goods, furniture and furnishings",export_wins
germany,retail,export_wins
france,"metals, minerals and materials : metals",export_wins
philippines,retail,export_wins
france,healthcare and medical,export_wins
greece,healthcare and medical : healthcare services : dentists,export_wins
nigeria,ict,export_wins
germany,retail,export_wins
south africa,advanced engineering,export_wins
united arab emirates,construction,export_wins
italy,"textiles, interior textiles and carpets",export_wins
oman,business (and consumer) services,export_wins
qatar,security,export_wins
singapore,food and drink : beverages and alcoholic drinks,export_wins
japan,"clothing, footwear and fashion : footwear",export_wins
turkey,"clothing, footwear and fashion : footwear",export_wins
philippines,environment and water,export_wins
russia,"creative and media : art, design and creativity : live theatrical presentations",export_wins
china,financial services (including professional services),export_wins
brazil,global sports projects,export_wins
qatar,business (and consumer) services,export_wins
kuwait,software and computer services business to business (b2b),export_wins
united arab emirates,creative and media,export_wins
united arab emirates,food and drink,export_wins
ireland,"household goods, furniture and furnishings",export_wins
france,retail,export_wins
france,automotive : manufacturing and assembly : agricultural machinery,export_wins
china,electronics and it hardware : electronic instruments,export_wins
germany,leisure and tourism,export_wins
india,retail,export_wins
new zealand,business (and consumer) services,export_wins
taiwan,"household goods, furniture and furnishings",export_wins
germany,ict,export_wins
germany,food and drink,export_wins
belgium,energy,export_wins
russia,food and drink,export_wins
netherlands,food and drink,export_wins
china,retail,export_wins
netherlands,"giftware, jewellery and tableware",export_wins
germany,chemicals : miscellaneous chemicals,export_wins
south korea,marine,export_wins
saudi arabia,food and drink : food and drink manufacturing,export_wins
ireland,automotive : manufacturing and assembly : agricultural machinery,export_wins
saudi arabia,ict,export_wins
united arab emirates,education and training,export_wins
iraq,environment : waste to energy,export_wins
bangladesh,energy,export_wins
finland,chemicals : cleaning preparations,export_wins
china,construction,export_wins
france,leisure and tourism,export_wins
netherlands,"giftware, jewellery and tableware",export_wins
switzerland,leisure and tourism,export_wins
france,"clothing, footwear and fashion",export_wins
bangladesh,"metals, minerals and materials : ceramics",export_wins
australia,"clothing, footwear and fashion",export_wins
germany,healthcare and medical : medical devices and systems : optical precision instruments,export_wins
italy,retail,export_wins
switzerland,software and computer services business to business (b2b) : industry applications,export_wins
netherlands,healthcare and medical,export_wins
south korea,construction,export_wins
ireland,retail,export_wins
sweden,retail,export_wins
canada,"metals, minerals and materials : metals",export_wins
united arab emirates,ict,export_wins
china,construction,export_wins
brazil,ict,export_wins
hong kong,creative and media : creative and media equipment,export_wins
switzerland,education and training,export_wins
taiwan,advanced engineering,export_wins
china,airports,export_wins
china,healthcare and medical : healthcare services,export_wins
united arab emirates,food and drink : food and drink manufacturing,export_wins
india,healthcare and medical : healthcare services,export_wins
south korea,retail,export_wins
germany,business (and consumer) services,export_wins
india,retail,export_wins
france,creative and media : creative and media equipment : musical instrument manufacture,export_wins
united arab emirates,"metals, minerals and materials",export_wins
germany,automotive : manufacturing and assembly : caravans,export_wins
poland,retail,export_wins
indonesia,education and training,export_wins
singapore,healthcare and medical : medical equipment,export_wins
france,healthcare and medical : healthcare services : dentists,export_wins
hungary,food and drink,export_wins
canada,food and drink,export_wins
united arab emirates,environment : water management,export_wins
sweden,education and training,export_wins
israel,water,export_wins
india,electronics and it hardware,export_wins
india,retail,export_wins
russia,aerospace : manufacturing and assembly : space technology,export_wins
china,ict,export_wins
vietnam,food and drink : beverages and alcoholic drinks,export_wins
canada,retail,export_wins
spain,creative and media,export_wins
united arab emirates,creative and media : media : music,export_wins
china,retail,export_wins
kazakhstan,oil and gas,export_wins
netherlands,"giftware, jewellery and tableware",export_wins
japan,software and computer services business to business (b2b) : financial applications,export_wins
netherlands,environment,export_wins
netherlands,food and drink,export_wins
czechia,ict,export_wins
germany,"household goods, furniture and furnishings",export_wins
russia,life sciences,export_wins
qatar,creative and media : architecture,export_wins
italy,automotive : component manufacturing : engines and transmission,export_wins
china,"agriculture, horticulture and fisheries",export_wins
ireland,creative and media,export_wins
australia,software and computer services business to business (b2b),export_wins
france,environment,export_wins
germany,food and drink,export_wins
germany,"giftware, jewellery and tableware",export_wins
sweden,food and drink : brewing,export_wins
india,food and drink,export_wins
canada,creative and media,export_wins
united arab emirates,"creative and media : art, design and creativity",export_wins
singapore,advanced engineering,export_wins
hong kong,education and training,export_wins
slovakia,food and drink : beverages and alcoholic drinks,export_wins
netherlands,retail,export_wins
israel,construction,export_wins
norway,chemicals,export_wins
congo (democratic republic),retail,export_wins
pakistan,ict,export_wins
guyana,water,export_wins
mexico,biotechnology and pharmaceuticals,export_wins
norway,defence,export_wins
ireland,railways,export_wins
india,retail,export_wins
israel,food and drink,export_wins
italy,"clothing, footwear and fashion : clothing",export_wins
hong kong,food and drink,export_wins
morocco,education and training,export_wins
kazakhstan,advanced engineering,export_wins
hong kong,construction,export_wins
china,environment : waste management : hazardous waste management,export_wins
china,creative and media : media : tv and radio,export_wins
finland,food and drink : pet food,export_wins
peru,"agriculture, horticulture and fisheries",export_wins
qatar,security,export_wins
new zealand,education and training,export_wins
russia,food and drink : beverages and alcoholic drinks,export_wins
portugal,leisure and tourism,export_wins
china,education and training,export_wins
panama,education and training,export_wins
united arab emirates,mechanical electrical and process engineering,export_wins
ireland,advanced engineering,export_wins
sweden,security,export_wins
colombia,financial services (including professional services) : asset management,export_wins
canada,food and drink,export_wins
china,healthcare and medical : healthcare services : private sector,export_wins
romania,oil and gas,export_wins
mongolia,"agriculture, horticulture and fisheries",export_wins
saudi arabia,advanced engineering,export_wins
serbia,advanced engineering,export_wins
new zealand,"agriculture, horticulture and fisheries",export_wins
ukraine,automotive,export_wins
germany,business (and consumer) services : hr services,export_wins
japan,marine,export_wins
sweden,food and drink : pet food,export_wins
france,retail,export_wins
germany,retail,export_wins
austria,financial services (including professional services) : insurance,export_wins
czechia,healthcare and medical,export_wins
hong kong,food and drink : beverages and alcoholic drinks,export_wins
saudi arabia,healthcare and medical : healthcare services : private sector,export_wins
pakistan,power,export_wins
sweden,"household goods, furniture and furnishings",export_wins
canada,advanced engineering,export_wins
singapore,"clothing, footwear and fashion : clothing",export_wins
china,food and drink,export_wins
norway,advanced engineering,export_wins
mexico,automotive : manufacturing and assembly : motorcycles,export_wins
czechia,food and drink : brewing,export_wins
mauritius,education and training,export_wins
russia,creative and media : media : publishing,export_wins
colombia,security,export_wins
russia,creative and media : creative and media equipment,export_wins
colombia,education and training,export_wins
switzerland,electronics and it hardware,export_wins
cyprus,automotive,export_wins
peru,mining,export_wins
china,education and training,export_wins
kuwait,biotechnology and pharmaceuticals : bio and pharma marketing and sales,export_wins
china,creative and media : media : publishing,export_wins
united arab emirates,creative and media : creative and media distribution : film and video,export_wins
bulgaria,food and drink,export_wins
poland,education and training,export_wins
hong kong,"creative and media : media : film, photography and animation",export_wins
china,"agriculture, horticulture and fisheries",export_wins
china,financial services (including professional services) : asset management,export_wins
poland,food and drink : meat products,export_wins
france,power : nuclear,export_wins
united arab emirates,"creative and media : art, design and creativity",export_wins
china,construction,export_wins
philippines,"agriculture, horticulture and fisheries",export_wins
slovenia,oil and gas,export_wins
israel,aerospace,export_wins
portugal,education and training,export_wins
china,education and training,export_wins
sweden,"clothing, footwear and fashion : clothing",export_wins
china,healthcare and medical : healthcare services,export_wins
china,construction,export_wins
japan,aerospace,export_wins
ireland,automotive : manufacturing and assembly : agricultural machinery,export_wins
south korea,biotechnology and pharmaceuticals : pharmaceuticals,export_wins
ghana,healthcare and medical,export_wins
united arab emirates,education and training,export_wins
ukraine,"clothing, footwear and fashion",export_wins
turkey,mechanical electrical and process engineering,export_wins
australia,financial services (including professional services) : professional services : accountancy services,export_wins
china,"household goods, furniture and furnishings",export_wins
italy,"clothing, footwear and fashion",export_wins
india,healthcare and medical : healthcare services,export_wins
malta,retail,export_wins
ghana,mechanical electrical and process engineering,export_wins
angola,communications : wireless : wi-fi,export_wins
china,renewable energy : wind : renewable energy: wind: offshore,export_wins
thailand,education and training,export_wins
south africa,healthcare and medical,export_wins
china,retail,export_wins
norway,advanced engineering,export_wins
france,retail,export_wins
malta,food and drink : beverages and alcoholic drinks,export_wins
qatar,global sports projects : major events,export_wins
brazil,food and drink : food and drink manufacturing,export_wins
india,food and drink : fruit and vegetables,export_wins
ireland,automotive : component manufacturing,export_wins
turkey,education and training,export_wins
switzerland,retail,export_wins
denmark,healthcare and medical : healthcare services : vets,export_wins
united arab emirates,retail,export_wins
united arab emirates,"household goods, furniture and furnishings",export_wins
germany,leisure and tourism,export_wins
south korea,ict,export_wins
romania,automotive : manufacturing and assembly : agricultural machinery,export_wins
kenya,food and drink,export_wins
norway,defence and security,export_wins
united arab emirates,education and training,export_wins
denmark,biotechnology and pharmaceuticals,export_wins
ecuador,automotive,export_wins
indonesia,financial services (including professional services) : capital markets,export_wins
ghana,"clothing, footwear and fashion",export_wins
