country,sector,service
brazil,advanced engineering,datahub
switzerland,power : nuclear,datahub
trinidad and tobago,education and training,datahub
taiwan,mechanical electrical and process engineering,datahub
taiwan,railways,datahub
united arab emirates,education and training,datahub
india,communications,datahub
india,defence,datahub
tanzania,business (and consumer) services,datahub
india,power,datahub
egypt,mechanical electrical and process engineering,datahub
india,business (and consumer) services,datahub
norway,"clothing, footwear and fashion",datahub
ireland,food and drink,datahub
spain,business (and consumer) services,datahub
israel,education and training,datahub
singapore,construction,datahub
france,renewable energy,datahub
estonia,education and training,datahub
germany,food and drink,datahub
france,business (and consumer) services,datahub
japan,energy,datahub
japan,leisure and tourism,datahub
france,financial services (including professional services),datahub
germany,biotechnology and pharmaceuticals,datahub
qatar,financial services (including professional services) : asset management,datahub
australia,life sciences,datahub
japan,software and computer services business to business (b2b) : financial applications,datahub
united states,financial services (including professional services),datahub
united states,ict,datahub
vietnam,education and training,datahub
denmark,security : cyber security,datahub
russia,construction,datahub
mexico,"agriculture, horticulture and fisheries",datahub
brazil,aerospace,datahub
united states,creative and media,datahub
united states,education and training,datahub
philippines,construction,datahub
romania,defence,datahub
romania,"clothing, footwear and fashion",datahub
russia,construction,datahub
russia,power,datahub
germany,food and drink,datahub
france,retail,datahub
brazil,oil and gas,datahub
italy,defence,datahub
mexico,chemicals,datahub
norway,oil and gas,datahub
hungary,security,datahub
indonesia,"agriculture, horticulture and fisheries",datahub
bosnia and herzegovina,mining,datahub
india,healthcare and medical,datahub
latvia,defence and security,datahub
belgium,food and drink,datahub
bahrain,aerospace,datahub
finland,financial services (including professional services),datahub
vietnam,airports,datahub
belgium,business (and consumer) services,datahub
poland,construction,datahub
mexico,renewable energy : wind,datahub
switzerland,defence and security,datahub
sri lanka,aerospace,datahub
malaysia,education and training,datahub
malaysia,financial services (including professional services),datahub
france,environment : waste management,datahub
mexico,construction,datahub
france,advanced engineering,datahub
bosnia and herzegovina,mining,datahub
taiwan,renewable energy : wind : offshore,datahub
canada,biotechnology and pharmaceuticals,datahub
canada,aerospace,datahub
china,chemicals,datahub
russia,"giftware, jewellery and tableware",datahub
china,financial services (including professional services),datahub
india,security,datahub
china,software and computer services business to business (b2b),datahub
indonesia,"giftware, jewellery and tableware",datahub
china,creative and media,datahub
slovakia,healthcare and medical,datahub
czechia,healthcare and medical,datahub
sweden,biotechnology and pharmaceuticals,datahub
denmark,construction,datahub
australia,business (and consumer) services,datahub
switzerland,water,datahub
denmark,healthcare and medical,datahub
switzerland,security,datahub
switzerland,healthcare and medical,datahub
austria,"giftware, jewellery and tableware",datahub
austria,healthcare and medical,datahub
thailand,construction,datahub
austria,automotive : automotive retail,datahub
belgium,defence,datahub
latvia,business (and consumer) services,datahub
japan,food and drink,datahub
brazil,education and training,datahub
japan,software and computer services business to business (b2b),datahub
indonesia,education and training,datahub
taiwan,railways,datahub
united arab emirates,aerospace,datahub
spain,railways,datahub
india,"giftware, jewellery and tableware",datahub
kenya,"agriculture, horticulture and fisheries",datahub
india,biotechnology and pharmaceuticals,datahub
egypt,security,datahub
